graph6,source,n,degree,expected_i,ilp_i,i_set,expected_mu,ilp_mu,mu_matching,independent,dominates,matching_ok,maximal,agree
QO?k?g?__PK??OCg@AQ@??@dOG?,structured_families_n_le_18,18,3,5,5,5;9;13;16;17,6,6,2-11;3-17;4-5;6-9;8-15;12-14,1,1,1,1,1
QOC?aAAGOg_oA?oG@GR??@@??AW,structured_families_n_le_18,18,3,5,5,8;10;14;15;16,6,6,0-8;1-15;3-6;5-16;7-9;12-14,1,1,1,1,1
QYA???`AAG?G@DA_?OgaOa_?Oo?,structured_families_n_le_18,18,3,5,5,0;1;6;7;9,6,6,1-2;5-12;6-16;7-15;9-17;13-14,1,1,1,1,1
Q_G@O?@@HEG_c?U??aCAC?@GO_G,structured_families_n_le_18,18,3,5,5,0;9;10;13;16,6,6,0-1;3-12;4-6;5-9;7-10;16-17,1,1,1,1,1
Q_OGO?c_@?oO?PC_EG?J?OAOOQ?,structured_families_n_le_18,18,3,5,5,1;2;6;15;17,6,6,0-1;2-10;3-14;5-15;6-13;12-17,1,1,1,1,1
Qc_??XOA?AA?GaGaGC_?g@_CcO?,structured_families_n_le_18,18,3,5,5,1;6;7;11;17,6,6,0-3;2-13;5-7;6-12;8-14;9-15,1,1,1,1,1
QhEKAC`CGO_p__OOcCG_`AACCEG,structured_families_n_le_18,18,4,6,6,1;4;8;11;12;15,6,6,1-13;2-8;4-10;5-17;6-12;9-15,1,1,1,1,1
Qo??`GIGOOG?_@AEA@??LT??E_?,structured_families_n_le_18,18,3,5,5,1;6;7;13;15,6,6,0-12;1-16;4-10;6-17;7-9;14-15,1,1,1,1,1
QpP?GoG?GEE??E@_??o@_??Y??W,structured_families_n_le_18,18,3,5,5,0;3;8;12;13,7,7,0-1;3-11;5-6;7-10;8-15;9-12;14-16,1,1,1,1,1
QpT?GSO?WC?B?G?@c@??B@?a??W,structured_families_n_le_18,18,3,6,6,0;3;6;11;12;15,6,6,0-1;3-8;5-16;6-7;11-13;14-15,1,1,1,1,1
QrOWOKA?W@?B?A?@_?O?B_?G_?W,structured_families_n_le_18,18,3,6,6,1;2;5;8;13;14,6,6,0-1;2-17;5-7;6-8;11-13;12-14,1,1,1,1,1
Qr~v~z~~v~~}~~~~^~~~}~~~~~o,structured_families_n_le_18,18,16,2,2,0;3,8,8,1-12;2-10;4-13;5-6;7-16;8-15;9-11;14-17,1,1,1,1,1
Qs\v~z{~~~^{~~~~^~f~~~~z~~_,structured_families_n_le_18,18,15,3,3,0;4;5,8,8,0-16;3-12;4-8;5-11;6-9;7-10;13-15;14-17,1,1,1,1,1
QsaCB|}^b{No~~~~^~f~w~~B~{?,structured_families_n_le_18,18,12,6,6,0;7;8;9;10;11,6,6,0-12;7-14;8-17;9-13;10-15;11-16,1,1,1,1,1
QsaCCA?_B~n}^{^{N}B~_^{@~o?,structured_families_n_le_18,18,9,9,9,0;10;11;12;13;14;15;16;17,9,9,0-5;1-10;2-12;3-15;4-17;6-11;7-13;8-14;9-16,1,1,1,1,1
Q~~~~~~~~~~~~~~~~~~~~~~~~~w,structured_families_n_le_18,18,17,1,1,0,9,9,0-2;1-13;3-6;4-15;5-7;8-9;10-14;11-17;12-16,1,1,1,1,1
